question,A,B,C,D,correct,level
"Spider-Man: No Way Home featured the surprise MCU debut of what colorfully monstrous villain, played by Willem Dafoe?","Green Goblin","Sandman","Lizard","Venom","A","2"
"Marvel and Disney+’s Moon Knight features a villainous turn from what actor as Arthur Harrow?","Ethan Hawke","Oscar Isaac","F. Murray Abraham","May Calamawy","A","2"
"In Iron Man 2, what chemical did Natasha Romanoff inject Nick Fury with?","Lithium dioxide","Palladium","Vibranium","Uru","A","2"
"In which Marvel film does Black Panther make his first appearance?","Captain America: Civil War","Avengers: Infinity War","Black Panther","Avengers: Endgame","A","2"
"Beating Captain Marvel to the title by nine months, who was the first female superhero to be named in the title of a Marvel Cinematic Universe film?","Wasp","Black Widow","Scarlet Witch","Captain Marvel","A","2"
"In a nod to the alias they use in the comics, which member of the Avengers team pretends to be a physician named Donald Blake?","Thor","Loki","Hulk","Iron Man","A","2"
"In Ant Man, Scott Lang works for which ice cream company after his release from prison?","Baskin-Robbins","Ben & Jerry's","Haagen-Dazs","Dreyer's","A","2"
"Which 2019 movie in the Marvel Cinematic Universe introduces the character Goose?","Captain Marvel","Guardians of the Galaxy","Ant-Man and the Wasp","Avengers: Endgame","A","2"
"What is the name of the fictional New Jersey town where Wanda and Vision live in WandaVision?","Westview","Westchester","Westfield","Westwood","A","2"
"Granting its user the ability to manipulate and distort matter, what color is the mind-warping Infinity Stone?","Yellow","Red","Blue","Green","A","2"
"The opening scene in Iron Man 3 shows Tony Stark schmoozing with guests at one of the last parties in 1999 celebrating what December holiday?","New Year's Eve","Christmas","Halloween","Thanksgiving","A","2"
"Also a Marvel superhero, what name is given to the long-distance triathlon races organized by the World Triathlon Corporation?","Ironman","Ultraman","Superman","Batman","A","2"
"The language spoken by the inhabitants of Wakanda in the Black Panther movies is a real language, an official language of South Africa and Zimbabwe. What is it?","Xhosa","Zulu","Afrikaans","Swahili","A","2"
"In what city does Kamala Khan live in the Disney+ series Ms. Marvel?","Jersey City","New York City","Philadelphia","Boston","A","2"
"In the Disney+ series Hawkeye, Kate Bishop's bedroom wall has a diploma from what notable girls' private school in New York?","The Spence School","Brearley School","Chapin School","Dalton School","A","2"
"Scarlett Johansson's Black Widow character will be receiving a solo film in 2021. What was the first Marvel film in which her character appeared?","Iron Man 2","The Avengers","Captain America: Winter Soldier","Avengers: Age of Ultron","A","2"
"What is the real name of the Scarlet Witch?","Wanda Maximoff","Natasha Romanoff","Pietro Maximoff","Vision","A","2"
"What major American city was the site of most of the principal photography for Black Panther?","Atlanta","Los Angeles","New York","Chicago","A","2"
"Despite being named Endgame, it was not the final film in Marvel's Phase Three. What film was?","Spider-Man: Far From Home","Captain Marvel","Avengers: Endgame","Black Panther","A","2"
"Elizabeth Olsen and Paul Bettany are the two stars of what television miniseries that debuted on Disney+ in 2021?","WandaVision","Loki","The Falcon and the Winter Soldier","What If...?","A","2"
"In 2014’s Guardians Of The Galaxy, what does Groot say after surrounding the team in a giant ball of his own wood?","We Are Groot","I Am Groot","Groot","We Are Family","A","2"
"In the Thor films of the MCU, what Norse goddess and warrior friend of Thor was played by Jamie Alexander?","Lady Sif","Valkyrie","Hela","Frigga","A","2"
"Cap and Iron Man go from frenemy to enemy, Winter Soldier gets left in the cold, and T'Challa loses his papa: these events result from the Accords named for what fictional Eastern European country?","Sokovia","Wakanda","Latveria","Genosha","A","2"
"What colorful MCU character first appeared in Avengers: Age Of Ultron as a female resident of Sokovia?","Scarlet Witch","Quicksilver","Vision","Ultron","A","2"
"Which 2013 Marvel movie was the sequel to the 2011 film starring Chris Hemsworth as the titular, hammer-wielding character?","Thor: The Dark World","Thor: Ragnarok","Thor: Love and Thunder","Avengers","A","2"
"In the MCU films he has appeared in, Groot's vocabulary has been limited to five distinct words. Three of them are I, am and Groot. What are the other two?","We are","You me","He she","This that","A","2"
"During the DC versus Marvel Comics crossover event, who dropped a whale on the Sub-Mariner?","Aquaman","Superman","Green Lantern","Flash","A","3"
"Played by James Spader on film, what Marvel supervillain originated as an artificial intelligence peacekeeping program by Tony Stark?","Ultron","Vision","J.A.R.V.I.S.","K.A.R.E.N.","A","3"
"Although it originally belonged to Loki, who did Thanos have to kill in order to retrieve the yellow Mind Stone in Avengers: Infinity War?","Vision","Scarlet Witch","Falcon","War Machine","A","3"
"In 2021’s The Eternals, Don Lee plays an Eternal strongman who cares for Angelina Jolie’s Thena. What is the “G” name of Lee’s character?","Gilgamesh","Gorgon","Gilad","Grom","A","3"
"At the end of Captain America: The First Avenger, what famous NYC landmark does Rogers stumble into where he encounters Nick Fury?","Times Square","Central Park","Empire State Building","Statue of Liberty","A","3"
"What character died in Avengers: Age of Ultron only to seemingly reappear in Wandavision?","Quicksilver","Loki","Vision","Nick Fury","A","3"
"General Thaddeus Ross is known by what “electrifying” nickname in the 2008 Marvel movie The Incredible Hulk?","Thunderbolt","Lightning","Storm","Bolt","A","3"
"This superhero made his MCU debut in the post-credits scene of the film, Guardians of the Galaxy. What is the name of the anthropomorphic waterfowl?","Howard the Duck","Darkwing Duck","Donald Duck","Scrooge McDuck","A","3"
"You don't need to be afraid unless you're a pair of scissors. That was an introductory rock-paper-scissors joke from what Taika Waititi-voiced warrior?","Korg","Miek","Topaz","Valkyrie","A","3"
"Before his death in 2018, Stan Lee famously made cameo appearances in all the MCU movies. What movie marked his final cameo appearance?","Avengers: Endgame","Spider-Man: Into the Spider-Verse","Captain Marvel","Avengers: Infinity War","A","3"
"A dog called Cosmo licks Taneleer Tivan's, before a duck says Why do you let it lick you like that? Gross. This is the end credit scene of which MCU movie?","Guardians of the Galaxy","Guardians of the Galaxy Vol. 2","Thor: Ragnarok","Avengers: Infinity War","A","3"
"In Guardians of the Galaxy Vol. 2, Kurt Russell plays a Celestial who happens to be Peter Quill/Star-Lord’s biological father. What is the character’s name?","Ego","Yondu","Thanos","Taserface","A","3"
"In which Marvel movie does the villain Mandarin commit a string of bombings that confuse intelligence agencies due to a lack of forensic evidence?","Iron Man 3","Iron Man 2","Avengers","Captain America: Winter Soldier","A","3"
"Post Endgame, the Marvel Cinematic Universe is now entering its Phase Four which includes what film with a single-word title that typically means multiple things that are lasting forever without end?","Eternals","Multiverse","Infinity","Quantum","A","3"
"Matt Murdock is the secret identity of what famous Marvel superhero?","Daredevil","Spider-Man","Iron Fist","Luke Cage","A","3"
"Set during the Atomic Age following World War II, what MCU series starred Hayley Atwell in the title role?","Agent Carter","Agents of S.H.I.E.L.D.","Cloak & Dagger","Runaways","A","3"
"Spoiler alert: the post-credit sequence of The Eternals introduces Harry Styles as Thanos's brother Starfox, also known by the name of what arousing Greek god?","Eros","Apollo","Adonis","Pan","A","3"
"2021’s Eternals marked the MCU debut of what Academy Award-winning director?","Chloe Zhao","Denis Villeneuve","Guillermo del Toro","Bong Joon-ho","A","3"
"Presumably not a favorite amongst arachnophobes, Cate Shortland became the first woman to direct a movie in the Marvel Cinematic Universe when she took the helm for which 2021 release?","Black Widow","Captain Marvel","Birds of Prey","Wonder Woman","A","3"
"In 2018’s Black Panther, which nickname did Michael B. Jordan’s character, Erik Stevens, get in black ops?","Killmonger","Klaw","M'Baku","W'Kabi","A","3"
"Which singer makes a surprise mid-credits appearance as Eros/Starfox in Eternals?","Harry Styles","BTS","The Weeknd","Post Malone","A","3"
"The Cleveland Museum of Art serves as a stand-in for the headquarters of what counter-terrorism agency in the Marvel Cinematic Universe?","S.H.I.E.L.D.","HYDRA","AIM","S.W.O.R.D.","A","3"
"In Doctor Strange in the Multiverse of Madness, the title hero spends the 2022 film trying to protect a dimension-leaping teenager with what seemingly patriotic first name?","America","Liberty","Patriot","Freedom","A","3"
"Including post-credits scenes, which character has appeared in the most MCU movies at 11?","Nick Fury","Stan Lee","Thanos","Loki","A","3"
"What is the alliterative name of the subatomic structures that Ant-Man uses in order to alter his size?","Pym particles","Quantum particles","Vibranium particles","Adamantium particles","A","3"
"Before being replaced by Mark Ruffalo starting with The Avengers in 2012, what other actor first played the Hulk in the Marvel Cinematic Universe?","Edward Norton","Eric Bana","Lou Ferrigno","Bill Bixby","A","3"
"Once a peaceable librarian, Kamo Tharnn found a magical artifact that made him go power-mad and become The Possessor, an enemy of what shiny Marvel Comics superhero?","Silver Surfer","Ghost Rider","Nova","Quasar","A","3"
"When Richard Rider discovers the helmet of a recently deceased space cop, he gains super strength and flight powers and becomes what Marvel Comics hero?","Nova","Star-Lord","Captain Marvel","Hyperion","A","3"
"Sharing its name with a biblical city in the West Bank, what is the name of the missile that splits into several missiles which Tony Stark demonstrates at the start of Iron Man?","Jericho","Goliath","Tesseract","Valkyrie","A","3"
"What was the protocol command given by Tony Stark to J.A.R.V.I.S in Iron Man 3 which made all of his suits he built fly to his aid?","House Party Protocol","Avengers Protocol","Stark Protocol","Emergency Protocol","A","3"
"In the 2019 film Spider-Man: Far From Home, J.K. Simmons is seen portraying what eccentric character?","J. Jonah Jameson","Eddie Brock","Norman Osborn","Quentin Beck","A","3"
"In the Disney+ series Ms. Marvel, what article of jewelry awakened Kamala Khan’s superpowers?","Bangle","Necklace","Ring","Bracelet","A","3"
"In Captain America: Civil War, what royal Wakandan was tragically killed by a bomb at a U.N. conference in Vienna?","King T'Chaka","T'Challa","N'Jadaka","Shuri","A","3"
"In the 2017 film Thor: Ragnarok, actor Jeff Goldblum comically portrayed what ruler of Sakaar?","Grandmaster","Collector","High Evolutionary","Knull","A","3"
"Aside from Thor and Captain America, which superhero (not villain) in the Marvel Cinematic Universe was proven worthy to wield Thor’s hammer (Mjolnir)?","Vision","Hulk","Iron Man","Spider-Man","A","3"
"What is the full name of the ocular relic, worn by Doctor Strange, which was created by the first Sorcerer Supreme to be used as a containment device for the Time Stone?","Eye of Agamotto","Eye of Horus","Eye of Ra","Third Eye","A","3"
"What decade was the majority of the 2019 film Captain Marvel set in?","1990s","1980s","2000s","1970s","A","3"
"Getting its name from the five jet thrusters that power it, what is the name of The Avengers' aircraft?","Quinjet","Helicarrier","Skycycle","Jetpack","A","3"
"In what fictional Eastern European country did Hydra have its research base?","Sokovia","Wakanda","Symkaria","Latveria","A","3"
"What is the first name of Chris Hemsworth’s older brother, who has appeared in two Thor movies?","Luke","Liam","Chris Jr.","Thor","A","3"
"An apt place for a dude who fights Frost Giants, Tønsberg, Norway was the final home for what Tesseract-wielding guy after Loki banished him from Asgard?","Odin","Thor","Loki","Heimdall","A","3"
"Quantumania is the subtitle of a planned 2022 Marvel Cinematic Universe starring which two Marvel heroes?","Ant-Man and the Wasp","Spider-Man and Venom","Captain America and Falcon","Hulk and Abomination","A","3"

