theme,question,option_a,option_b,option_c,option_d,correct,level
Marvel,"In the 2015 film Avengers: Age of Ultron, Tony Stark replaced J.A.R.V.I.S. with what AI assistant?",EDITH,F.R.I.D.A.Y.,U.L.T.R.O.N.,K.A.R.E.N.,B,1
Marvel,"The Marvels is a Marvel Cinematic Universe movie featuring Captain Marvel, Ms. Marvel, and Monica Rambeau, who previously had shown up in what Disney+ series?",Loki,Moon Knight,Hawkeye,WandaVision,D,1
Marvel,The shield of Captain America is forged from an alloy of steel and what other fictional metal that is mined only in Wakanda?,Adamantium,Vibranium,Uru,Vibranium,B,1
Marvel,"Aside from his tenure as Falcon, in 2014 Sam Wilson suited up as an 'All-New' version of what Avenger?",Iron Man,Ant-Man,Captain America,Hawk eye,C,1
Marvel,"In 2019, writer Jonathan Hickman relaunched one of Marvel’s prominent superhero teams to the fictional island paradise of Krakoa. What team got this makeover?",Avengers,Inhumans,X-Men,Fantastic Four,C,1
Marvel,"They all work out, but Gamora compares which Avenger's muscles to Cotati metal fibers?",Hulk,Iron Man,Thor,Captain America,C,1
Marvel,"The Disney+ show Loki introduces a female variant of the Asgardian god of mischief, who goes by what “S” name?",Sif,Sylvie,Sigyn,Skaadi,B,1
Marvel,The Warriors Three are a group of supporting characters that have appeared in all three Marvel Cinematic Universe films dedicated to what hero?,Loki,Iron Man,Hulk,Thor,D,1
Marvel,Each Infinity Stone in the MCU embodies and controls an essential aspect of existence - how many of these stones are there?,Four,Seven,Six,Five,C,2
Marvel,"What adorable orange tabby cat, first seen in Captain Marvel (2019), is actually a Flerken?",Chewie,Rocket,Goose,Falcon,C,2
Marvel,"Pepper being a nickname bestowed by Tony Stark, what is Ms. Potts’ actual first name?",Veronica,Virginia,Victoria,Valerie,B,2
Marvel,"Known by the letters VFX, for what area of film production have 12 movies in the Marvel Cinematic Universe been nominated for Academy Awards?",Sound Editing,Visual Effects,Costume Design,Production Design,B,2
Marvel,"Portrayed by Corey Stoll, Darren Cross donned a shrinking super suit and became what colorful “stinging” supervillain in the 2015 film Ant-Man?",Hornet,Bee,Yellowjacket,Wasp,C,2
Marvel,"In Thor: Love and Thunder, what New Zealand actor played the Greek god Zeus?",Jeff Goldblum,Russell Crowe,Toby Kebbell,Luke Evans,B,2
Marvel,"In addition to San Francisco, LA, and Macau, what Australian city was the site for the studio where Shang-Chi and the Legend of the Ten Rings was filmed?",Melbourne,Sydney,Brisbane,Perth,B,2
Marvel,"The actress who played Samantha on Who's the Boss, Starlord's ship in Guardians of the Galaxy, and a Pepperidge Farm cookie all share what Italian name?",Genoa,Milano,Naples,Venice,B,2
Marvel,What exoplanet is the native home of Thanos?,Zen-Whoberi,Titan,Vormir,Ego,B,2
Marvel,What is the name of the web series for Hulu set in the MCU which featured six teenagers from different backgrounds?,Cloak & Dagger,Inhumans,Helstrom,Runaways,D,2
Marvel,"In the MCU, Samuel L. Jackson plays what head of the S.H.I.E.L.D. organization?",Phil Coulson,Alexander Pierce,Maria Hill,Nick Fury,D,2
Marvel,"In Spider-Man: Homecoming, Michael Keaton plays Adrian Toomes, who becomes what flying supervillain?",Falcon,Eagle,Hawk,Vulture,D,2
Marvel,"Translated in English as the Committee for State Security, what secret police force was a former employer of Natasha Romanoff?",FSB,KGB,CIA,MI6,B,2
Marvel,What is the name of the 1960s sitcom with a namesake star best known for his portrayal of a chimney sweep?,Bewitched,The Dick Van Dyke Show,I Dream of Jeannie,The Brady Bunch,B,2
Marvel,"After T'Challa is handily beaten during a dust-up with Killmonger, he's nursed back to health by what rival mountain tribe?",Border Tribe,Merchant Tribe,Jabari,River Tribe,C,2
Marvel,Scott Lang is the alter ego of what incredible shrinking superhero?,Wasp,Yellowjacket,Goliath,Ant-Man,D,2
Marvel,"In Captain America: The First Avenger, Johann Schmidt is the head of HYDRA, better known by what colorfully anatomic name?",Green Goblin,Purple Man,Red Skull,Blue Beetle,C,2
Marvel,"In Black Widow, Red Guardian has knuckle tattoos spelling out the name of what Communist Manifesto writer?",Friedrich Engels,Joseph Stalin,Karl Marx,Vladimir Lenin,C,2
Marvel,"2022 saw the MCU debut of what lunar anti-hero, played by Oscar Isaac?",Blade,Moon Knight,Ghost Rider,Morbius,B,2
Marvel,"Spider-Man: No Way Home featured the surprise MCU debut of what colorfully monstrous villain, played by Willem Dafoe?",Sandman,Venom,Lizard,Green Goblin,D,2
Marvel,Marvel and Disney+’s Moon Knight features a villainous turn from what actor as Arthur Harrow?,Oscar Isaac,Ethan Hawke,F. Murray Abraham,May Calamawy,B,2
Marvel,"In Iron Man 2, what chemical did Natasha Romanoff inject Nick Fury with?",Palladium,Uru,Lithium dioxide,Vibranium,B,2
Marvel,In which Marvel film does Black Panther make his first appearance?,Avengers: Infinity War,Avengers: Endgame,Black Panther,Captain America: Civil War,D,2
Marvel,"Beating Captain Marvel to the title by nine months, who was the first female superhero to be named in the title of a Marvel Cinematic Universe film?",Black Widow,Captain Marvel,Scarlet Witch,Wasp,D,2
Marvel,"In a nod to the alias they use in the comics, which member of the Avengers team pretends to be a physician named Donald Blake?",Loki,Iron Man,Thor,Hulk,C,2
Marvel,"In Ant Man, Scott Lang works for which ice cream company after his release from prison?",Ben & Jerry's,Haagen-Dazs,Baskin-Robbins,Dreyer's,C,2
Marvel,Which 2019 movie in the Marvel Cinematic Universe introduces the character Goose?,Guardians of the Galaxy,Avengers: Endgame,Ant-Man and the Wasp,Captain Marvel,D,2
Marvel,What is the name of the fictional New Jersey town where Wanda and Vision live in WandaVision?,Westchester,Westview,Westfield,Westwood,B,2
Marvel,"Granting its user the ability to manipulate and distort matter, what color is the mind-warping Infinity Stone?",Red,Green,Yellow,Blue,C,2
Marvel,The opening scene in Iron Man 3 shows Tony Stark schmoozing with guests at one of the last parties in 1999 celebrating what December holiday?,Christmas,New Year's Eve,Halloween,Thanksgiving,B,2
Marvel,"Also a Marvel superhero, what name is given to the long-distance triathlon races organized by the World Triathlon Corporation?",Ultraman,Ironman,Superman,Batman,B,2
Marvel,"The language spoken by the inhabitants of Wakanda in the Black Panther movies is a real language, an official language of South Africa and Zimbabwe. What is it?",Zulu,Afrikaans,Xhosa,Swahili,C,2
Marvel,In what city does Kamala Khan live in the Disney+ series Ms. Marvel?,New York City,Boston,Jersey City,Philadelphia,C,2
Marvel,"In the Disney+ series Hawkeye, Kate Bishop's bedroom wall has a diploma from what notable girls' private school in New York?",Brearley School,The Spence School,Chapin School,Dalton School,B,2
Marvel,Scarlett Johansson's Black Widow character will be receiving a solo film in 2021. What was the first Marvel film in which her character appeared?,The Avengers,Avengers: Age of Ultron,Iron Man 2,Captain America: Winter Soldier,C,2
Marvel,What is the real name of the Scarlet Witch?,Natasha Romanoff,Pietro Maximoff,Wanda Maximoff,Vision,C,2
Marvel,What major American city was the site of most of the principal photography for Black Panther?,Los Angeles,Chicago,New York,Atlanta,D,2
Marvel,"Despite being named Endgame, it was not the final film in Marvel's Phase Three. What film was?",Captain Marvel,Black Panther,Avengers: Endgame,Spider-Man: Far From Home,D,2
Marvel,Elizabeth Olsen and Paul Bettany are the two stars of what television miniseries that debuted on Disney+ in 2021?,Loki,WandaVision,The Falcon and the Winter Soldier,What If...?,B,2
Marvel,"In 2014’s Guardians Of The Galaxy, what does Groot say after surrounding the team in a giant ball of his own wood?",I Am Groot,Groot,We Are Groot,We Are Family,C,2
Marvel,"In the Thor films of the MCU, what Norse goddess and warrior friend of Thor was played by Jamie Alexander?",Valkyrie,Lady Sif,Hela,Frigga,B,2
Marvel,"Cap and Iron Man go from frenemy to enemy, Winter Soldier gets left in the cold, and T'Challa loses his papa: these events result from the Accords named for what fictional Eastern European country?",Wakanda,Genosha,Sokovia,Latveria,C,2
Marvel,What colorful MCU character first appeared in Avengers: Age Of Ultron as a female resident of Sokovia?,Quicksilver,Ultron,Scarlet Witch,Vision,C,2
Marvel,"Which 2013 Marvel movie was the sequel to the 2011 film starring Chris Hemsworth as the titular, hammer-wielding character?",Thor: Ragnarok,Avengers,Thor: Love and Thunder,Thor: The Dark World,D,2
Marvel,"In the MCU films he has appeared in, Groot's vocabulary has been limited to five distinct words. Three of them are I, am and Groot. What are the other two?",You me,He she,We are,This that,C,2
Marvel,"During the DC versus Marvel Comics crossover event, who dropped a whale on the Sub-Mariner?",Superman,Aquaman,Green Lantern,Flash,B,3
Marvel,"Played by James Spader on film, what Marvel supervillain originated as an artificial intelligence peacekeeping program by Tony Stark?",Vision,Ultron,J.A.R.V.I.S.,K.A.R.E.N.,B,3
Marvel,"Although it originally belonged to Loki, who did Thanos have to kill in order to retrieve the yellow Mind Stone in Avengers: Infinity War?",Scarlet Witch,Falcon,Vision,War Machine,C,3
Marvel,"In 2021’s The Eternals, Don Lee plays an Eternal strongman who cares for Angelina Jolie’s Thena. What is the “G” name of Lee’s character?",Gorgon,Gilad,Gilgamesh,Grom,C,3
Marvel,"At the end of Captain America: The First Avenger, what famous NYC landmark does Rogers stumble into where he encounters Nick Fury?",Central Park,Statue of Liberty,Times Square,Empire State Building,C,3
Marvel,What character died in Avengers: Age of Ultron only to seemingly reappear in Wandavision?,Loki,Quicksilver,Vision,Nick Fury,B,3
Marvel,General Thaddeus Ross is known by what “electrifying” nickname in the 2008 Marvel movie The Incredible Hulk?,Lightning,Thunderbolt,Storm,Bolt,B,3
Marvel,"This superhero made his MCU debut in the post-credits scene of the film, Guardians of the Galaxy. What is the name of the anthropomorphic waterfowl?",Darkwing Duck,Scrooge McDuck,Donald Duck,Howard the Duck,D,3
Marvel,You don't need to be afraid unless you're a pair of scissors. That was an introductory rock-paper-scissors joke from what Taika Waititi-voiced warrior?,Miek,Korg,Topaz,Valkyrie,B,3
Marvel,"Before his death in 2018, Stan Lee famously made cameo appearances in all the MCU movies. What movie marked his final cameo appearance?",Spider-Man: Into the Spider-Verse,Avengers: Infinity War,Avengers: Endgame,Captain Marvel,C,3
Marvel,"A dog called Cosmo licks Taneleer Tivan's, before a duck says Why do you let it lick you like that? Gross. This is the end credit scene of which MCU movie?",Guardians of the Galaxy Vol. 2,Thor: Ragnarok,Avengers: Infinity War,Guardians of the Galaxy,B,3
Marvel,"In Guardians of the Galaxy Vol. 2, Kurt Russell plays a Celestial who happens to be Peter Quill/Star-Lord’s biological father. What is the character’s name?",Yondu,Taserface,Ego,Thanos,C,3
Marvel,In which Marvel movie does the villain Mandarin commit a string of bombings that confuse intelligence agencies due to a lack of forensic evidence?,Iron Man 2,Captain America: Winter Soldier,Avengers,Iron Man 3,D,3
Marvel,"Post Endgame, the Marvel Cinematic Universe is now entering its Phase Four which includes what film with a single-word title that typically means multiple things that are lasting forever without end?",Multiverse,Eternals,Infinity,Quantum,B,3
Marvel,Matt Murdock is the secret identity of what famous Marvel superhero?,Spider-Man,Luke Cage,Daredevil,Iron Fist,C,3
Marvel,"Set during the Atomic Age following World War II, what MCU series starred Hayley Atwell in the title role?",Agents of S.H.I.E.L.D.,Runaways,Cloak & Dagger,Agent Carter,D,3
Marvel,"Spoiler alert: the post-credit sequence of The Eternals introduces Harry Styles as Thanos's brother Starfox, also known by the name of what arousing Greek god?",Apollo,Eros,Adonis,Pan,B,3
Marvel,2021’s Eternals marked the MCU debut of what Academy Award-winning director?,Denis Villeneuve,Chloe Zhao,Guillermo del Toro,Bong Joon-ho,B,3
Marvel,"Presumably not a favorite amongst arachnophobes, Cate Shortland became the first woman to direct a movie in the Marvel Cinematic Universe when she took the helm for which 2021 release?",Captain Marvel,Black Widow,Birds of Prey,Wonder Woman,B,3
Marvel,"In 2018’s Black Panther, which nickname did Michael B. Jordan’s character, Erik Stevens, get in black ops?",Klaw,W'Kabi,Killmonger,M'Baku,C,3
Marvel,Which singer makes a surprise mid-credits appearance as Eros/Starfox in Eternals?,BTS,Harry Styles,The Weeknd,Post Malone,B,3
Marvel,The Cleveland Museum of Art serves as a stand-in for the headquarters of what counter-terrorism agency in the Marvel Cinematic Universe?,HYDRA,S.W.O.R.D.,S.H.I.E.L.D.,AIM,C,3
Marvel,"In Doctor Strange in the Multiverse of Madness, the title hero spends the 2022 film trying to protect a dimension-leaping teenager with what seemingly patriotic first name?",Liberty,Freedom,America,Patriot,C,3
Marvel,"Including post-credits scenes, which character has appeared in the most MCU movies at 11?",Stan Lee,Loki,Nick Fury,Thanos,C,3
Marvel,What is the alliterative name of the subatomic structures that Ant-Man uses in order to alter his size?,Quantum particles,Pym particles,Vibranium particles,Adamantium particles,B,3
Marvel,"Before being replaced by Mark Ruffalo starting with The Avengers in 2012, what other actor first played the Hulk in the Marvel Cinematic Universe?",Eric Bana,Edward Norton,Lou Ferrigno,Bill Bixby,B,3
Marvel,"Once a peaceable librarian, Kamo Tharnn found a magical artifact that made him go power-mad and become The Possessor, an enemy of what shiny Marvel Comics superhero?",Ghost Rider,Quasar,Silver Surfer,Nova,C,3
Marvel,"When Richard Rider discovers the helmet of a recently deceased space cop, he gains super strength and flight powers and becomes what Marvel Comics hero?",Star-Lord,Hyperion,Captain Marvel,Nova,D,3
Marvel,"Sharing its name with a biblical city in the West Bank, what is the name of the missile that splits into several missiles which Tony Stark demonstrates at the start of Iron Man?",Goliath,Valkyrie,Jericho,Tesseract,C,3
Marvel,What was the protocol command given by Tony Stark to J.A.R.V.I.S in Iron Man 3 which made all of his suits he built fly to his aid?,Avengers Protocol,Stark Protocol,Emergency Protocol,House Party Protocol,D,3
Marvel,"In the 2019 film Spider-Man: Far From Home, J.K. Simmons is seen portraying what eccentric character?",Eddie Brock,J. Jonah Jameson,Norman Osborn,Quentin Beck,B,3
Marvel,"In the Disney+ series Ms. Marvel, what article of jewelry awakened Kamala Khan’s superpowers?",Necklace,Bracelet,Bangle,Ring,C,3
Marvel,"In Captain America: Civil War, what royal Wakandan was tragically killed by a bomb at a U.N. conference in Vienna?",T'Challa,Shuri,King T'Chaka,N'Jadaka,C,3
Marvel,"In the 2017 film Thor: Ragnarok, actor Jeff Goldblum comically portrayed what ruler of Sakaar?",Collector,Knull,Grandmaster,High Evolutionary,C,3
Marvel,"Aside from Thor and Captain America, which superhero (not villain) in the Marvel Cinematic Universe was proven worthy to wield Thor’s hammer (Mjolnir)?",Hulk,Spider-Man,Vision,Iron Man,C,3
Marvel,"What is the full name of the ocular relic, worn by Doctor Strange, which was created by the first Sorcerer Supreme to be used as a containment device for the Time Stone?",Eye of Horus,Third Eye,Eye of Agamotto,Eye of Ra,C,3
Marvel,What decade was the majority of the 2019 film Captain Marvel set in?,1980s,1970s,1990s,2000s,C,3
Marvel,"Getting its name from the five jet thrusters that power it, what is the name of The Avengers' aircraft?",Helicarrier,Quinjet,Skycycle,Jetpack,B,3
Marvel,In what fictional Eastern European country did Hydra have its research base?,Wakanda,Sokovia,Symkaria,Latveria,B,3
Marvel,"What is the first name of Chris Hemsworth’s older brother, who has appeared in two Thor movies?",Liam,Luke,Chris Jr.,Thor,B,3
Marvel,"An apt place for a dude who fights Frost Giants, Tønsberg, Norway was the final home for what Tesseract-wielding guy after Loki banished him from Asgard?",Thor,Heimdall,Odin,Loki,C,3
Marvel,Quantumania is the subtitle of a planned 2022 Marvel Cinematic Universe starring which two Marvel heroes?,Spider-Man and Venom,Hulk and Abomination,Captain America and Falcon,Ant-Man and the Wasp,D,3
Harry Potter,What is the name of Harry Potter's owl?,Crookshanks,Hedwig,Nagini,Buckbeak,B,1
Harry Potter,What position does Harry Potter play in Quidditch?,Chaser,Keeper,Seeker,Beater,C,1
Harry Potter,What is Hagrid's first name?,Albus,Rubeus,Remus,Severus,B,1
Harry Potter,"What is the name of the cat belonging to Hogwarts' caretaker, Argus Filch?",Mrs. Norris,Crookshanks,Nagini,Fawkes,A,1
Harry Potter,What is the name of Harry Potter's hometown?,Privet Drive,Diagon Alley,Godric's Hollow,Hogsmeade,C,1
Harry Potter,How many players are there on a Quidditch team?,5,7,9,11,B,1
Harry Potter,What is the original name of the J.K. Rowling book “Harry Potter and the Sorcerer's Stone”?,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,B,1
Harry Potter,"After being destroyed by the Whomping Willow, Harry's Nimbus 2000 is replaced with what broom?",Nimbus 2001,Firebolt,Cleansweep,Comet,B,1
Harry Potter,What is Hermione Granger's middle name?,Jane,Jean,June,Joy,B,1
Harry Potter,What pub does the Knight Bus drop Harry Potter off at after he flees the Dursleys' in “Harry Potter and the Prisoner of Azkaban”?,The Three Broomsticks,The Leaky Cauldron,The Hog's Head,The Shrieking Shack,B,1
Harry Potter,What is the name of the house elf who warns Harry Potter against returning to Hogwarts in “Harry Potter and the Chamber of Secrets”?,Kreacher,Winky,Dobby,Hokey,C,1
Harry Potter,What three schools of magic compete in the Triwizard Tournament in “Harry Potter and the Goblet of Fire”?,"Hogwarts, Slytherin, and Ravenclaw","Hogwarts, Durmstrang and Beauxbatons","Hogwarts, Hufflepuff, and Gryffindor","Hogwarts, Ilvermorny, and Castelobruxo",B,1
Harry Potter,What is Minerva McGonagall a professor of at Hogwarts School for Witchcraft and Wizardry?,Potions,Charms,Transfiguration,Defense Against the Dark Arts,C,1
Harry Potter,"Before “Twilight,” Robert Pattinson appeared in “Harry Potter and the Goblet of Fire” as what character?",Draco Malfoy,Cedric Diggory,Viktor Krum,Oliver Wood,B,1
Harry Potter,What is the name of the wand shop in Diagon Alley?,Flourish and Blotts,Ollivanders,Madam Malkin's,Quality Quidditch Supplies,B,1
Harry Potter,The deepest vaults of Gringotts Bank are protected by what?,A goblin,A troll,A dragon,A sphinx,C,1
Harry Potter,What is the name of the plant with healing properties whose scream is so piercing it can be fatal?,Devil's Snare,Mandrake,Venomous Tentacula,Fluxweed,B,1
Harry Potter,What are the four houses of Hogwarts?,"Gryffindor, Slytherin, Hufflepuff and Ravenclaw","Durmstrang, Beauxbatons, Ilvermorny and Koldovstoretz","Gryffindor, Hufflepuff, Ravenclaw and Thunderbird","Slytherin, Pukwudgie, Horned Serpent and Wampus",A,1
Harry Potter,What defensive spell can be used to deflect spells cast by enemies and other wizards?,Expelliarmus,The Protego spell,Stupefy,Accio,B,1
Harry Potter,Which Harry Potter character is dubbed “The Half-Blood Prince”?,Draco Malfoy,Severus Snape,Tom Riddle,Horace Slughorn,B,1
Harry Potter,What animal is Harry Potter's patronus?,A doe,A phoenix,The stag,A wolf,C,1
Harry Potter,"After missing the train, Harry and Ron use an enchanted car to fly to Hogwarts in “Chamber of Secrets.” What make and model is the automobile?",Ford Anglia,Volkswagen Beetle,Morris Minor,Austin Healey,A,1
Harry Potter,In “Harry Potter and the Deathly Hallows” Harry swims to the bottom of a frozen pond to retrieve what magical item?,The Elder Wand,The sword of Gryffindor,The Resurrection Stone,The Sorting Hat,B,1
Harry Potter,Who is the Defense Against the Dark Arts professor in “Harry Potter and the Prisoner of Azkaban”?,Gilderoy Lockhart,Remus Lupin,Mad-Eye Moody,Dolores Umbridge,B,1
Harry Potter,What position does Ron Weasley play on Gryffindor's Quidditch team in the movie “Harry Potter and the Half-Blood Prince”?,Seeker,Chaser,Keeper (or goalie),Beater,C,1
Harry Potter,What does the Hogwarts’ motto “Draco Dormiens Nunquam Titillandus” mean?,Unity in magic,Never tickle a sleeping dragon,Knowledge is power,Courage under fire,B,1
Harry Potter,What is the name of Albus Dumbledore's phoenix?,Hedwig,Fawkes,Fluffy,Norbert,B,1
Harry Potter,What is a wizard or witch that can turn into a specific animal at will called?,Werewolf,Animagus,Metamorphmagus,Veela,B,1
Harry Potter,What is Ron Weasley's biggest fear?,Heights,Darkness,Spiders,Failure,C,1
Harry Potter,What is the name of Hagrid's hippogriff?,Norbert,Fluffy,Buckbeak,Aragog,C,1
Harry Potter,Which Hogwarts' house does Luna Lovegood belong to?,Gryffindor,Slytherin,Hufflepuff,Ravenclaw,D,1
Harry Potter,What organization is responsible for governing the wizarding world?,The Order of the Phoenix,The Ministry of Magic,Dumbledore's Army,The Death Eaters,B,1
Harry Potter,What train station is home to the Hogwarts Express?,Platform 9 3/4,King's Cross Station,Euston Station,Paddington Station,B,1
Harry Potter,At what Diagon Alley store can Hogwarts students purchase their robes?,Ollivanders,Flourish and Blotts,Madam Malkin's,Weasleys' Wizard Wheezes,C,1
Harry Potter,"For which wizarding family was Dobby, the house elf, in servitude to?",The Weasleys,The Grangers,The Malfoys,The Potters,C,1
Harry Potter,What is the name of Hermione Granger's cat?,Hedwig,Crookshanks,Mrs. Norris,Nagini,B,1
Harry Potter,What are Harry Potter’s parents’ names?,Lily and James,Petunia and Vernon,Molly and Arthur,Narcissa and Lucius,A,1
Harry Potter,Who is Hermione’s date at the Yule Ball?,Harry Potter,Ron Weasley,Viktor Krum,Draco Malfoy,C,1
Harry Potter,Who is the head of the Hufflepuff House?,Professor McGonagall,Professor Flitwick,Professor Sprout,Professor Snape,C,1
Harry Potter,What kind of owl is Hedwig?,Barn owl,A snowy owl,Screech owl,Tawny owl,B,1
Harry Potter,Actor Robbie Coltrane played what beloved character in the Harry Potter movies?,Dumbledore,Hagrid,Snape,Sirius Black,B,1
Harry Potter,What spell instantly removes the wand from your challenger's hand?,Stupefy,Expelliarmus,Petrificus Totalus,Alohomora,B,1
Harry Potter,What is the name of the shape-shifter that can appear in the likeness of a person's worst fear?,Dementor,Boggart,Werewolf,Poltergeist,B,1
Harry Potter,Harry Potter and the Dursleys live on Privet Drive in Surrey. What is the house number?,4,7,12,9,A,1
Harry Potter,The Hogwarts Express departs from what platform?,9 3/4,7 1/2,10 1/2,8 3/4,A,1
Harry Potter,What must one use to travel via the Floo Network?,Apparition,Portkey,Floo powder,Knight Bus,C,1
Harry Potter,"In “Harry Potter and the Prisoner of Azkaban,” Hagrid receives a promotion at Hogwarts. What is his new role?",Potions Master,Care of Magical Creatures professor,Defense Against the Dark Arts,Transfiguration,B,1
Harry Potter,Who was Draco Malfoy's date at the Yule Ball in “Harry Potter and the Goblet of Fire”?,Hermione Granger,Pansy Parkinson,Luna Lovegood,Cho Chang,B,1
Harry Potter,"In Harry Potter's first Quidditch match, how does he “catch” the snitch to win the game?",With his hand,In his mouth,With his broom,With a spell,B,1
Harry Potter,What is the name of the ice cream shop in Diagon Alley?,Florean Fortescue’s Ice Cream Parlour,Honeydukes,Zonko's Joke Shop,Quality Quidditch Supplies,A,1
Harry Potter,"What is the name of the first trap that Harry, Ron, and Hermione must survive to get past under the trap door in Harry Potter and the Sorcerer's Stone?",Fluffy the three-headed dog,The Devil's Snare,A troll in the dungeon,The chessboard challenge,B,1
Harry Potter,Who is the first person to approach Harry and Ron in their train compartment on the Hogwarts Express?,Draco Malfoy,Hagrid,Hermione,Neville Longbottom,C,1
Harry Potter,Which day does the first term of Hogwarts start on?,September 1st,October 31st,July 31st,December 25th,A,1
Harry Potter,"According to the books, what is the address of the Dursleys?",12 Grimmauld Place,4 Privet Drive,The Burrow,Godric's Hollow,B,1
Harry Potter,"How many presents did Dudley first think he received on his birthday, causing a tantrum?","38, which he thought were two more than last year","36, which he thought were two less than last year","40, which he thought were the same as last year","34, which he thought were four less than last year",B,1
Harry Potter,"In Harry Potter and the Sorcerer's Stone, on a night in the Forbidden Forest, Ronan and Bane remark on a certain planet being bright. Which planet is it?",Jupiter,Mars,Venus,Saturn,B,1
Harry Potter,What type of creature does Professor Gilderoy Lockhart set free in his class?,Cornish Pixies,Dementors,Blast-Ended Skrewts,Nifflers,A,1
Harry Potter,What brand of broomstick do Fred and George fly?,Nimbus 2000,Firebolt,Cleansweep,Comet 260,C,1
Harry Potter,What's the name of the first spell Harry uses against Malfoy in dueling club?,Expelliarmus,"Rictusempra, the tickling spell",Stupefy,Wingardium Leviosa,B,1
Harry Potter,Who was Percy Weasley secretly in a relationship with?,Penelope Clearwater,Cho Chang,Lavender Brown,Fleur Delacour,A,1
Harry Potter,"Prior to Hagrid taking over, which teacher handled the Care of Magical Creatures class?",Professor Grubbly-Plank,Professor Silvanus Kettleburn,Professor Trelawney,Professor Sprout,B,1
Harry Potter,Which Hippogriff does Harry bond with?,Witherwings,Buckbeak,Firenze,Aragog,B,1
Harry Potter,Which magical creatures were used as the Bulgarian National Quidditch Team mascots?,House-elves,Veela,Centaurs,Goblins,B,1
Harry Potter,Professor Moody says in class that everyone needs one thing above all else–what is it?,Constant vigilance,A good wand,True friends,Lots of gold,A,1
