theme,question,option_a,option_b,option_c,option_d,correct,level
Marvel,Who is the king of Wakanda in Black Panther?,"T'Challa",Killmonger,"M'Baku",Klaw,A,1
Marvel,What does S.H.I.E.L. stand for?,"Strategic Homeland Intervention","Super Human Investigation","Secret Heroes In Defense","Society for Higher Intelligence",A,1
Marvel,"In The Incredible Hulk, who is Bruce Banner's love interest?","Betty Ross","Pepper Potts","Jane Foster","Natasha Romanoff",A,1
Marvel,What is the name of the AI that assists Tony Stark after JARVIS?,ULTRON,EDITH,FRIDAY,KAREN,C,1
Marvel,Who plays the role of Loki in the MCU?,"Tom Hiddleston","Chris Hemsworth","Idris Elba","Anthony Hopkins",A,1
Marvel,"In Ant-Man, what insect does Scott Lang shrink to ride?",Wasp,Ant,Beetle,Hornet,B,1
Marvel,What is the final phase of the MCU as of 2025?,"Phase Five","Phase Four","Phase Six","Phase Three",C,1
Marvel,Each Infinity Stone in the MCU embodies and controls an essential aspect of existence - how many of these stones are there?,Four,Seven,Six,Five,C,2
Marvel,"What adorable orange tabby cat, first seen in Captain Marvel (2019), is actually a Flerken?",Chewie,Rocket,Goose,Falcon,C,2
Marvel,"Known by the letters VFX, for what area of film production have 12 movies in the Marvel Cinematic Universe been nominated for Academy Awards?","Sound Editing","Visual Effects","Costume Design","Production Design",B,2
Marvel,"Portrayed by Corey Stoll, Darren Cross donned a shrinking super suit and became what colorful “stinging” supervillain in the 2015 film Ant-Man?",Hornet,Bee,Yellowjacket,Wasp,C,2
Marvel,"In Thor: Love and Thunder, what New Zealand actor played the Greek god Zeus?","Jeff Goldblum","Russell Crowe","Toby Kebbell","Luke Evans",B,2
Marvel,"In addition to San Francisco, LA, and Macau, what Australian city was the site for the studio where Shang-Chi and the Legend of the Ten Rings was filmed?",Melbourne,Sydney,Brisbane,Perth,B,2
Marvel,"The actress who played Samantha on Who's the Boss, Starlord's ship in Guardians of the Galaxy, and a Pepperidge Farm cookie all share what Italian name?",Genoa,Milano,Naples,Venice,B,2
Marvel,What is the name of the web series for Hulu set in the MCU which featured six teenagers from different backgrounds?,"Cloak & Dagger",Inhumans,Helstrom,Runaways,D,2
Marvel,"In Spider-Man: Homecoming, Michael Keaton plays Adrian Toomes, who becomes what flying supervillain?",Falcon,Eagle,Hawk,Vulture,D,2
Marvel,"Translated in English as the Committee for State Security, what secret police force was a former employer of Natasha Romanoff?",FSB,KGB,CIA,MI6,B,2
Marvel,"After T'Challa is handily beaten during a dust-up with Killmonger, he's nursed back to health by what rival mountain tribe?","Border Tribe","Merchant Tribe",Jabari,"River Tribe",C,2
Marvel,Scott Lang is the alter ego of what incredible shrinking superhero?,Wasp,Yellowjacket,Goliath,"Ant-Man",D,2
Marvel,"In Captain America: The First Avenger, Johann Schmidt is the head of HYDRA, better known by what colorfully anatomic name?","Green Goblin","Purple Man","Red Skull","Blue Beetle",C,2
Marvel,"In Black Widow, Red Guardian has knuckle tattoos spelling out the name of what Communist Manifesto writer?","Friedrich Engels","Joseph Stalin","Karl Marx","Vladimir Lenin",C,2
Marvel,"2022 saw the MCU debut of what lunar anti-hero, played by Oscar Isaac?",Blade,"Moon Knight","Ghost Rider",Morbius,B,2
Marvel,"Spider-Man: No Way Home featured the surprise MCU debut of what colorfully monstrous villain, played by Willem Dafoe?",Sandman,Venom,Lizard,"Green Goblin",D,2
Marvel,"Marvel and Disney+’s Moon Knight features a villainous turn from what actor as Arthur Harrow?","Oscar Isaac","Ethan Hawke","F. Murray Abraham","May Calamawy",B,2
Marvel,"In Iron Man 2, what chemical did Natasha Romanoff inject Nick Fury with?",Palladium,Uru,"Lithium dioxide",Vibranium,B,2
Marvel,In which Marvel film does Black Panther make his first appearance?,"Avengers: Infinity War","Avengers: Endgame","Black Panther","Captain America: Civil War",D,2
Marvel,"Beating Captain Marvel to the title by nine months, who was the first female superhero to be named in the title of a Marvel Cinematic Universe film?","Black Widow","Captain Marvel","Scarlet Witch",Wasp,D,2
Marvel,"In a nod to the alias they use in the comics, which member of the Avengers team pretends to be a physician named Donald Blake?",Loki,Iron Man,Thor,Hulk,C,2
Marvel,"In Ant Man, Scott Lang works for which ice cream company after his release from prison?","Ben & Jerry's","Haagen-Dazs","Baskin-Robbins",Dreyer's,C,2
Marvel,Which 2019 movie in the Marvel Cinematic Universe introduces the character Goose?,"Guardians of the Galaxy","Avengers: Endgame","Ant-Man and the Wasp","Captain Marvel",D,2
Marvel,What is the name of the fictional New Jersey town where Wanda and Vision live in WandaVision?,Westchester,Westview,Westfield,Westwood,B,2
Marvel,"Granting its user the ability to manipulate and distort matter, what color is the mind-warping Infinity Stone?",Red,Green,Yellow,Blue,C,2
Marvel,The opening scene in Iron Man 3 shows Tony Stark schmoozing with guests at one of the last parties in 1999 celebrating what December holiday?,Christmas,"New Year's Eve",Halloween,Thanksgiving,B,2
Marvel,"Also a Marvel superhero, what name is given to the long-distance triathlon races organized by the World Triathlon Corporation?",Ultraman,Ironman,Superman,Batman,B,2
Marvel,"The language spoken by the inhabitants of Wakanda in the Black Panther movies is a real language, an official language of South Afric What is it?",Zulu,Afrikaans,Xhosa,Swahili,C,2
Marvel,In what city does Kamala Khan live in the Disney+ series Ms. Marvel?,"New York City",Boston,"Jersey City",Philadelphia,C,2
Marvel,"In the Disney+ series Hawkeye, Kate Bishop's bedroom wall has a diploma from what notable girls' private school in New York?","Brearley School","The Spence School","Chapin School","Dalton School",B,2
Marvel,"Scarlett Johansson's Black Widow character will be receiving a solo film in 2021. What was the first Marvel film in which her character appeared?","The Avengers","Avengers: Age of Ultron","Iron Man 2","Captain America: Winter Soldier",C,2
Marvel,What is the real name of the Scarlet Witch?,"Natasha Romanoff","Pietro Maximoff","Wanda Maximoff",Vision,C,2
Marvel,What major American city was the site of most of the principal photography for Black Panther?,Los Angeles,Chicago,New York,Atlanta,D,2
Marvel,"Despite being named Endgame, it was not the final film in Marvel's Phase Three. What film was?","Captain Marvel","Black Panther","Avengers: Endgame","Spider-Man: Far From Home",D,2
Marvel,"Elizabeth Olsen and Paul Bettany are the two stars of what television miniseries that debuted on Disney+ in 2021?",Loki,WandaVision,"The Falcon and the Winter Soldier","What If...?",B,2
Marvel,"In 2014’s Guardians Of The Galaxy, what does Groot say after surrounding the team in a giant ball of his own wood?","I Am Groot",Groot,"We Are Groot","We Are Family",C,2
Marvel,"In the Thor films of the MCU, what Norse goddess and warrior friend of Thor was played by Jamie Alexander?",Valkyrie,"Lady Sif",Hela,Frigga,B,2
Marvel,"Cap and Iron Man go from frenemy to enemy, Winter Soldier gets left in the cold, and T'Challa loses his papa: these events result from the Accords named for what fictional Eastern European country?",Wakanda,Genosha,Sokovia,Latveria,C,2
Marvel,What colorful MCU character first appeared in Avengers: Age Of Ultron as a female resident of Sokovia?,Quicksilver,Ultron,"Scarlet Witch",Vision,C,2
Marvel,"Which 2013 Marvel movie was the sequel to the 2011 film starring Chris Hemsworth as the titular, hammer-wielding character?","Thor: Ragnarok",Avengers,"Thor: Love and Thunder","Thor: The Dark World",D,2
Marvel,"In the MCU films he has appeared in, Groot's vocabulary has been limited to five distinct words. Three of them are I, am and Groot. What are the other two?","You me","He she","We are","This that",C,2
Marvel,The shield of Captain America is forged from an alloy of steel and what other fictional metal that is mined only in Wakanda?,Adamantium,Vibranium,Uru,Titanium,B,2
Marvel,"In Deadpool & Wolverine (2024), what team does Deadpool join?",X-Force,Avengers,X-Men,Thunderbolts,A,2
Marvel,What is the name of the bar in Thor: Ragnarok where Korg is introduced?,"The Badoon","The Grandmaster's Palace",The Sakaarian,"The Golden Tusks",D,2
Marvel,"In Captain America: Brave New World (2025), who succeeds Sam Wilson as a key figure?","Bucky Barnes","John Walker","Isaiah Bradley","Joaquin Torres",B,2
Marvel,What real-world holiday is celebrated in Spider-Man: Homecoming?,Christmas,"Fourth of July",Halloween,Thanksgiving,B,2
Marvel,"In WandaVision, what is Vision's job in Westview?",Teacher,Salesman,"Stay-at-Home Dad",Detective,B,2
Marvel,Who directed Black Panther: Wakanda Forever (2022)?,"Ryan Coogler","Taika Waititi","Destin Daniel Cretton","Chloé Zhao",A,2
Marvel,"In Loki Season 2, what is the name of the device that resets the timeline?","The Loom","The TemPad","The TVA Archive","The Time Door",A,2
Marvel,What is Namor's underwater kingdom called in Wakanda Forever?,Atlantis,Talokan,"Sub-Mariner City",Neptune,B,2
Marvel,"In The Marvels (2023), what power does Kamala Khan gain?",Flight,"Hard Light Constructs","Energy Blasts",Teleportation,B,2
Marvel,What song plays during the credits of Iron Man (2008)?,"Back in Black","Shoot to Thrill","Highway to Hell",Thunderstruck,A,2
Marvel,"In Eternals, what is the name of the ship that carries the Eternals to Earth?","The Domo","The Celestial Ark",The Unity,"The Odyssey",A,2
Marvel,Who is the main villain in Doctor Strange (2016)?,Dormammu,Mordo,Kaecilius,"The Ancient One",C,2
Marvel,"In Agatha All Along (2024), what coven title does Agatha take?","The Scarlet Witch","The Green Witch","The Purple Witch","The Blue Witch",C,2
Marvel,What is the name of the multiverse variant of Reed Richards introduced in Doctor Strange in the Multiverse of Madness?,"Mr. Fantastic","The Illuminati Leader",The Beyonder,"The Watcher",A,2
Marvel,"In She-Hulk: Attorney at Law, what is Jennifer Walters' job?",Superhero,Lawyer,Journalist,Teacher,B,2
Marvel,What city is the primary setting for Shang-Chi and the Legend of the Ten Rings?,San Francisco,New York,London,Macau,A,2
Marvel,"In What If...? Season 2, what is the name of the holiday-themed episode?","What If... Christmas Came Early?","What If... Zombies?","What If... Ultron Won?","What If... Nebula Ruled?",A,2
Marvel,"During the DC versus Marvel Comics crossover event, who dropped a whale on the Sub-Mariner?",Superman,Aquaman,"Green Lantern",Flash,B,3
Marvel,"Played by James Spader on film, what Marvel supervillain originated as an artificial intelligence peacekeeping program by Tony Stark?",Vision,Ultron,J.R.V.I.S.,K.R.E.N.,B,3
Marvel,"Although it originally belonged to Loki, who did Thanos have to kill in order to retrieve the yellow Mind Stone in Avengers: Infinity War?","Scarlet Witch",Falcon,Vision,"War Machine",C,3
Marvel,"In 2021’s The Eternals, Don Lee plays an Eternal strongman who cares for Angelina Jolie’s Then What is the “G” name of Lee’s character?",Gorgon,Gilad,Gilgamesh,Grom,C,3
Marvel,"At the end of Captain America: The First Avenger, what famous NYC landmark does Rogers stumble into where he encounters Nick Fury?","Central Park","Statue of Liberty","Times Square","Empire State Building",C,3
Marvel,What character died in Avengers: Age of Ultron only to seemingly reappear in Wandavision?,Loki,Quicksilver,Vision,"Nick Fury",B,3
Marvel,General Thaddeus Ross is known by what “electrifying” nickname in the 2008 Marvel movie The Incredible Hulk?,Lightning,Thunderbolt,Storm,Bolt,B,3
Marvel,"This superhero made his MCU debut in the post-credits scene of the film, Guardians of the Galaxy. What is the name of the anthropomorphic waterfowl?","Darkwing Duck","Scrooge McDuck","Donald Duck","Howard the Duck",D,2
Marvel,"You don't need to be afraid unless you're a pair of scissors. That was an introductory rock-paper-scissors joke from what Taika Waititi-voiced warrior?",Miek,Korg,Topaz,Valkyrie,B,3
Marvel,"Before his death in 2018, Stan Lee famously made cameo appearances in all the MCU movies. What movie marked his final cameo appearance?","Spider-Man: Into the Spider-Verse","Avengers: Infinity War","Avengers: Endgame","Captain Marvel",C,3
Marvel,"A dog called Cosmo licks Taneleer Tivan's, before a duck says Why do you let it lick you like that? Gross. This is the end credit scene of which MCU movie?","Guardians of the Galaxy Vol. 2","Thor: Ragnarok","Avengers: Infinity War","Guardians of the Galaxy",D,3
Marvel,"In Guardians of the Galaxy Vol. 2, Kurt Russell plays a Celestial who happens to be Peter Quill/Star-Lord’s biological father. What is the character’s name?",Yondu,Taserface,Ego,Thanos,C,3
Marvel,In which Marvel movie does the villain Mandarin commit a string of bombings that confuse intelligence agencies due to a lack of forensic evidence?,"Iron Man 2","Captain America: Winter Soldier",Avengers,"Iron Man 3",D,3
Marvel,"Post Endgame, the Marvel Cinematic Universe is now entering its Phase Four which includes what film with a single-word title that typically means multiple things that are lasting forever without end?",Multiverse,Eternals,Infinity,Quantum,B,2
Marvel,Matt Murdock is the secret identity of what famous Marvel superhero?,Spider-Man,"Luke Cage",Daredevil,"Iron Fist",C,3
Marvel,"Set during the Atomic Age following World War II, what MCU series starred Hayley Atwell in the title role?","Agents of S.H.I.E.L.",Runaways,"Cloak & Dagger","Agent Carter",D,3
Marvel,"Spoiler alert: the post-credit sequence of The Eternals introduces Harry Styles as Thanos's brother Starfox, also known by the name of what arousing Greek god?",Apollo,Eros,Adonis,Pan,B,3
Marvel,"2021’s Eternals marked the MCU debut of what Academy Award-winning director?","Denis Villeneuve","Chloe Zhao","Guillermo del Toro","Bong Joon-ho",B,3
Marvel,"Presumably not a favorite amongst arachnophobes, Cate Shortland became the first woman to direct a movie in the Marvel Cinematic Universe when she took the helm for which 2021 release?","Captain Marvel","Black Widow","Birds of Prey","Wonder Woman",B,3
Marvel,"In 2018’s Black Panther, which nickname did Michael  Jordan’s character, Erik Stevens, get in black ops?",Klaw,"W'Kabi",Killmonger,"M'Baku",C,3
Marvel,Which singer makes a surprise mid-credits appearance as Eros/Starfox in Eternals?,BTS,"Harry Styles","The Weeknd","Post Malone",B,3
Marvel,The Cleveland Museum of Art serves as a stand-in for the headquarters of what counter-terrorism agency in the Marvel Cinematic Universe?,HYDRA,S.W.O.R.,S.H.I.E.L.,AIM,C,3
Marvel,"In Doctor Strange in the Multiverse of Madness, the title hero spends the 2022 film trying to protect a dimension-leaping teenager with what seemingly patriotic first name?",Liberty,Freedom,America,Patriot,C,3
Marvel,"Including post-credits scenes, which character has appeared in the most MCU movies at 11?","Stan Lee",Loki,"Nick Fury",Thanos,C,3
Marvel,What is the alliterative name of the subatomic structures that Ant-Man uses in order to alter his size?,"Quantum particles","Pym particles","Vibranium particles","Adamantium particles",B,3
Marvel,"Before being replaced by Mark Ruffalo starting with The Avengers in 2012, what other actor first played the Hulk in the Marvel Cinematic Universe?","Eric Bana","Edward Norton","Lou Ferrigno","Bill Bixby",B,3
Marvel,"Once a peaceable librarian, Kamo Tharnn found a magical artifact that made him go power-mad and become The Possessor, an enemy of what shiny Marvel Comics superhero?","Ghost Rider",Quasar,"Silver Surfer",Nova,C,3
Marvel,"When Richard Rider discovers the helmet of a recently deceased space cop, he gains super strength and flight powers and becomes what Marvel Comics hero?","Star-Lord",Hyperion,"Captain Marvel",Nova,D,3
Marvel,"Sharing its name with a biblical city in the West Bank, what is the name of the missile that splits into several missiles which Tony Stark demonstrates at the start of Iron Man?",Goliath,Valkyrie,Jericho,Tesseract,C,3
Marvel,What was the protocol command given by Tony Stark to J.R.V.I.S in Iron Man 3 which made all of his suits he built fly to his aid?,"Avengers Protocol","Stark Protocol","Emergency Protocol","House Party Protocol",D,3
Marvel,"In the 2019 film Spider-Man: Far From Home, J.K. Simmons is seen portraying what eccentric character?","Eddie Brock","J. Jonah Jameson","Norman Osborn","Quentin Beck",B,3
Marvel,"In the Disney+ series Ms. Marvel, what article of jewelry awakened Kamala Khan’s superpowers?",Necklace,Bracelet,Bangle,Ring,C,3
Marvel,"In Captain America: Civil War, what royal Wakandan was tragically killed by a bomb at a U.N. conference in Vienna?","T'Challa",Shuri,"King T'Chaka","N'Jadaka",C,3
Marvel,"In the 2017 film Thor: Ragnarok, actor Jeff Goldblum comically portrayed what ruler of Sakaar?",Collector,Knull,Grandmaster,"High Evolutionary",C,3
Marvel,"Aside from Thor and Captain America, which superhero (not villain) in the Marvel Cinematic Universe was proven worthy to wield Thor’s hammer (Mjolnir)?",Hulk,"Spider-Man",Vision,Iron Man,C,3
Marvel,"What is the full name of the ocular relic, worn by Doctor Strange, which was created by the first Sorcerer Supreme to use as a containment device for the Time Stone?","Eye of Horus","Third Eye","Eye of Agamotto","Eye of Ra",C,3
Marvel,What decade was the majority of the 2019 film Captain Marvel set in?,1980s,1970s,1990s,2000s,C,3
Marvel,"Getting its name from the five jet thrusters that power it, what is the name of The Avengers' aircraft?",Helicarrier,Quinjet,Skycycle,Jetpack,B,3
Marvel,In what fictional Eastern European country did Hydra have its research base?,Wakanda,Sokovia,Symkaria,Latveria,B,3
Marvel,"What is the first name of Chris Hemsworth’s older brother, who has appeared in two Thor movies?",Liam,Luke,"Chris Jr.",Thor,B,3
Marvel,"An apt place for a dude who fights Frost Giants, Tønsberg, Norway was the final home for what Tesseract-wielding guy after Loki banished him from Asgard?",Thor,Heimdall,Odin,Loki,C,3
Marvel,Quantumania is the subtitle of a planned 2022 Marvel Cinematic Universe starring which two Marvel heroes?,"Spider-Man and Venom","Hulk and Abomination","Captain America and Falcon","Ant-Man and the Wasp",D,3
Marvel,"In 2019, writer Jonathan Hickman relaunched one of Marvel’s prominent superhero teams to the fictional island paradise of Krako What team got this makeover?",Avengers,Inhumans,X-Men,"Fantastic Four",C,3
Marvel,"In Marvel Comics, what is the real name of the Sentry?","Robert Reynolds","David Hudson","Scott Lang","Frank Castle",A,3
Marvel,Who wrote the 2023 comic event Fall of X that impacted the Krakoan era?,"Jonathan Hickman","Gerry Duggan","Kieron Gillen","Al Ewing",C,3
Marvel,"In Daredevil: Born Again (2025 series), what is the main antagonist's alter ego?",Bullseye,Kingpin,"The Hand","Typhoid Mary",B,3
Marvel,What is the name of the 2024 comic crossover between Marvel and Image Comics?,Image!,"Marvel/Image United","Heroes Reborn",Vendetta,A,3
Marvel,"In Secret Wars (2015 comics), what is the name of the Battleworld realm ruled by Doctor Doom?",Doomworld,"Latveria Prime","The Shield","New Xandar",A,3
Marvel,Who voices the character of Blade in the upcoming Blade film (delayed to 2025)?,"Mahershala Ali","Wesley Snipes","Delroy Lindo","Aaron Pierre",A,3
Marvel,"In Ultimate Spider-Man (relaunch 2024), what is Miles Morales' new status?",Deceased,"Multiversal Variant","Symbiote-Hosted","Iron Spider",B,3
Marvel,What artifact does Moon Knight use in the comics to summon Khonshu?,"The Crescent Darts","The Ankh","The Ushebti Statue","The Scarab",C,3
Marvel,"In Avengers: Twilight (2024 miniseries), what is Steve Rogers' future role?",President,Nomad,"Captain Hydra","Old Man Rogers",A,3
Marvel,Who is the creator of the character Gambit in Marvel Comics?,"Chris Claremont","Jim Lee","Frank Miller","John Byrne",A,3
Marvel,"In X-Men '97 (2024 animated series), what is the name of the virus that targets mutants?","Legacy Virus","Techno-Organic Virus","Brood Plague","Sinister Serum",A,3
Marvel,What is the codename for the 2025 Fantastic Four film directed by Matt Shakman?,"The First Steps","Rise of the Silver Surfer","Doom's Day","Galactus Gambit",A,3
Marvel,"In comics, what is the name of Magneto's daughter who becomes a villain?",Polaris,Rogue,Mystique,Destiny,A,3
Marvel,Who plays Valentina Allegra de Fontaine in Thunderbolts (upcoming 2025)?,"Julia Louis-Dreyfus","Hannah John-Kamen","Olga Kurylenko","Florence Pugh",A,3
Marvel,"In House of X (2019), what is the name of the mutant resurrection protocol?","The Five","The Twelve","The Phoenix Force","The Moira Cycle",A,3
Marvel,What Marvel character was introduced in Captain America: Brave New World as The Leader?,"Tim Blake Nelson","Giancarlo Esposito","Harrison Ford","Danny Ramirez",A,3
Star Wars,"In Star Wars: The Force Awakens, which character has Darth Vader's damaged mask?",Rey,Finn,Luke Skywalker,Kylo Ren,D,1
Star Wars,How did Princess Leia get her title of royalty?,Her sharp aim with a blaster,A mocking nickname from Han Solo,She is the adopted daughter of Bail Organa and Queen Breha,She is the daughter of Queen Katrina of the Geonosians,C,1
Star Wars,"While the Jedi use a number of crystal colors for their lightsabers, what color is preferred by the Sith?",Blue,Green,Purple,Red,D,1
Star Wars,Who destroyed the Droid Control Ship when they accidentally activated a Naboo Fighter's Autopilot?,Obi Wan Kenobi,Biggs Darklighter,Jar Jar Binks,Anakin Skywalker,D,1
Star Wars,Where does Yoda live when he first trains Luke Skywalker?,Tatooine,Coruscant,Dagobah,Hoth,C,1
Star Wars,"While fighting his own father in the Cloud City, which hand does Luke Skywalker lose?",Both,Neither,Left,Right,D,1
Star Wars,Who defeats Finn in his very first lightsaber duel?,Darth Vader,Darth Maul,Kerok Vet,Kylo Ren,D,1
Star Wars,What is Chewbacca's weapon of choice?,Lightsaber,Metal club,Blaster rifle,Bowcaster,D,1
Star Wars,"When we see him again in Star Wars: The Force Awakens, after many years gallivanting around the galaxy with Han Solo, how old is Chewbacca?",Under 55 years,Over 220 years,78 years old,200 years old on the dot,B,1
Star Wars,"What are the creatures, living on Endor, that helped the Rebel's to defeat the second Death Star?",Jawas,Wookies,Nerf Herders,Ewoks,D,1
Star Wars,What was the original title for the Star Wars movie?,The Adventures of the Jedi,Adventures of Luke Starkiller,Battles in Space,Star Battles,B,1
Star Wars,What nickname does Han Solo call Luke Skywalker that drives him crazy?,Lukie,Skydancer,Buckaroo,Kid,D,1
Star Wars,Who delivers the final blow that destroys the second Death Star?,Luke Skywalker with a Speeder,Han Solo with an X-Wing,Lando Calrissian with the Millennium Falcon,Jar Jar Binks with a Y-Wing,C,1
Star Wars,"Alright, who blew up the first Death Star, and with what weapon?",Princess Leia with a thermal detonator,Princess Leia with an X-Wing,Luke Skywalker with an X-Wing,Luke Skywalker with his Lightsaber,C,1
Star Wars,What does Han Solo have to say about the Force in A New Hope?,"Hokey religions and ancient weapons are no match for a good blaster at your side, ki",I wouldn't be caught dead with those midichlorians in my blood!,"Listen Kid, I can use the force like any of you, I just don't want to.",You can never be too safe. The force is a powerful ally,A,1
Star Wars,"Ok, now you're in for it: After Han Solo and Chewie made an opening, which X-Wing pilot blew up the Starkiller Base?",General Hux,Finn,Poe Dameron,Han Solo,C,1
Star Wars,What is the location of the scene in which we see the predominant color of Luke Skywalker's outfit change from white to black?,Jabba's Palace,The Cloud City,The Droid Control Ship,The first Death Star,A,1
Star Wars,What race does the comical Jar Jar Binks belong to?,The Hutt,The Wookies,The Gungan,The Naboo,C,1
Star Wars,Where do the Gungan live on the planet of Naboo?,Underground in caverns,On land in palaces,Under water in domes,"In the sky, in a Cloud City",C,1
