theme,question,option_a,option_b,option_c,option_d,correct,level
"Harry Potter","After missing the train, Harry and Ron use an enchanted car to fly to Hogwarts in “Chamber of Secrets.” What make and model is the automobile?","Ford Anglia","Volkswagen Beetle","Morris Minor","Austin Healey","A","easy"
"Harry Potter","In “Harry Potter and the Deathly Hallows” Harry swims to the bottom of a frozen pond to retrieve what magical item?","The Elder Wand","The sword of Gryffindor","The Resurrection Stone","The Sorting Hat","B","easy"
"Harry Potter","Who is the Defense Against the Dark Arts professor in “Harry Potter and the Prisoner of Azkaban”?","Gilderoy Lockhart","Remus Lupin","Mad-Eye Moody","Dolores Umbridge","B","easy"
"Harry Potter","What position does Ron Weasley play on Gryffindor's Quidditch team in the movie “Harry Potter and the Half-Blood Prince”?","Seeker","Chaser","Keeper (or goalie)","Beater","C","easy"
"Harry Potter","What does the Hogwarts’ motto “Draco Dormiens Nunquam Titillandus” mean?","Unity in magic","Never tickle a sleeping dragon","Knowledge is power","Courage under fire","B","easy"
"Harry Potter","What is the name of Albus Dumbledore's phoenix?","Hedwig","Fawkes","Fluffy","Norbert","B","easy"
"Harry Potter","What is a wizard or witch that can turn into a specific animal at will called?","Werewolf","Animagus","Metamorphmagus","Veela","B","easy"
"Harry Potter","What is Ron Weasley's biggest fear?","Heights","Darkness","Spiders","Failure","C","easy"
"Harry Potter","What is the name of Hagrid's hippogriff?","Norbert","Fluffy","Buckbeak","Aragog","C","easy"
"Harry Potter","Which Hogwarts' house does Luna Lovegood belong to?","Gryffindor","Slytherin","Hufflepuff","Ravenclaw","D","easy"
"Harry Potter","What organization is responsible for governing the wizarding world?","The Order of the Phoenix","The Ministry of Magic","Dumbledore's Army","The Death Eaters","B","easy"
"Harry Potter","What train station is home to the Hogwarts Express?","Platform 9 3/4","King's Cross Station","Euston Station","Paddington Station","B","easy"
"Harry Potter","At what Diagon Alley store can Hogwarts students purchase their robes?","Ollivanders","Flourish and Blotts","Madam Malkin's","Weasleys' Wizard Wheezes","C","easy"
"Harry Potter","For which wizarding family was Dobby, the house elf, in servitude to?","The Weasleys","The Grangers","The Malfoys","The Potters","C","easy"
"Harry Potter","What is the name of Hermione Granger's cat?","Hedwig","Crookshanks","Mrs. Norris","Nagini","B","easy"
"Harry Potter","What are Harry Potter’s parents’ names?","Lily and James","Petunia and Vernon","Molly and Arthur","Narcissa and Lucius","A","easy"
"Harry Potter","Who is Hermione’s date at the Yule Ball?","Harry Potter","Ron Weasley","Viktor Krum","Draco Malfoy","C","easy"
"Harry Potter","Who is the head of the Hufflepuff House?","Professor McGonagall","Professor Flitwick","Professor Sprout","Professor Snape","C","easy"
"Harry Potter","What kind of owl is Hedwig?","Barn owl","A snowy owl","Screech owl","Tawny owl","B","easy"
"Harry Potter","Actor Robbie Coltrane played what beloved character in the Harry Potter movies?","Dumbledore","Hagrid","Snape","Sirius Black","B","easy"
"Harry Potter","What spell instantly removes the wand from your challenger's hand?","Stupefy","Expelliarmus","Petrificus Totalus","Alohomora","B","easy"
"Harry Potter","What is the name of the shape-shifter that can appear in the likeness of a person's worst fear?","Dementor","Boggart","Werewolf","Poltergeist","B","easy"
"Harry Potter","Harry Potter and the Dursleys live on Privet Drive in Surrey. What is the house number?","4","7","12","9","A","easy"
"Harry Potter","The Hogwarts Express departs from what platform?","9 3/4","7 1/2","10 1/2","8 3/4","A","easy"
"Harry Potter","What must one use to travel via the Floo Network?","Apparition","Portkey","Floo powder","Knight Bus","C","easy"
"Harry Potter","In “Harry Potter and the Prisoner of Azkaban,” Hagrid receives a promotion at Hogwarts. What is his new role?","Potions Master","Care of Magical Creatures professor","Defense Against the Dark Arts","Transfiguration","B","easy"
"Harry Potter","Who was Draco Malfoy's date at the Yule Ball in “Harry Potter and the Goblet of Fire”?","Hermione Granger","Pansy Parkinson","Luna Lovegood","Cho Chang","B","easy"
"Harry Potter","In Harry Potter's first Quidditch match, how does he “catch” the snitch to win the game?","With his hand","In his mouth","With his broom","With a spell","B","easy"
"Harry Potter","What is the name of the ice cream shop in Diagon Alley?","Florean Fortescue’s Ice Cream Parlour","Honeydukes","Zonko's Joke Shop","Quality Quidditch Supplies","A","easy"
"Harry Potter","What is the name of the first trap that Harry, Ron, and Hermione must survive to get past under the trap door in Harry Potter and the Sorcerer's Stone?","Fluffy the three-headed dog","The Devil's Snare","A troll in the dungeon","The chessboard challenge","B","easy"
"Harry Potter","Who is the first person to approach Harry and Ron in their train compartment on the Hogwarts Express?","Draco Malfoy","Hagrid","Hermione","Neville Longbottom","C","easy"
"Harry Potter","Which day does the first term of Hogwarts start on?","September 1st","October 31st","July 31st","December 25th","A","easy"
"Harry Potter","According to the books, what is the address of the Dursleys?","12 Grimmauld Place","4 Privet Drive","The Burrow","Godric's Hollow","B","easy"
"Harry Potter","How many presents did Dudley first think he received on his birthday, causing a tantrum?","38, which he thought were two more than last year","36, which he thought were two less than last year","40, which he thought were the same as last year","34, which he thought were four less than last year","B","easy"
"Harry Potter","In Harry Potter and the Sorcerer's Stone, on a night in the Forbidden Forest, Ronan and Bane remark on a certain planet being bright. Which planet is it?","Jupiter","Mars","Venus","Saturn","B","easy"
"Harry Potter","What type of creature does Professor Gilderoy Lockhart set free in his class?","Cornish Pixies","Dementors","Blast-Ended Skrewts","Nifflers","A","easy"
"Harry Potter","What brand of broomstick do Fred and George fly?","Nimbus 2000","Firebolt","Cleansweep","Comet 260","C","easy"
"Harry Potter","What's the name of the first spell Harry uses against Malfoy in dueling club?","Expelliarmus","Rictusempra, the tickling spell","Stupefy","Wingardium Leviosa","B","easy"
"Harry Potter","Who was Percy Weasley secretly in a relationship with?","Penelope Clearwater","Cho Chang","Lavender Brown","Fleur Delacour","A","easy"
"Harry Potter","Prior to Hagrid taking over, which teacher handled the Care of Magical Creatures class?","Professor Grubbly-Plank","Professor Silvanus Kettleburn","Professor Trelawney","Professor Sprout","B","easy"
"Harry Potter","Which Hippogriff does Harry bond with?","Witherwings","Buckbeak","Firenze","Aragog","B","easy"
"Harry Potter","Which magical creatures were used as the Bulgarian National Quidditch Team mascots?","House-elves","Veela","Centaurs","Goblins","B","easy"
"Harry Potter","Professor Moody says in class that everyone needs one thing above all else–what is it?","Constant vigilance","A good wand","True friends","Lots of gold","A","easy"
"Harry Potter","In Harry Potter and the Goblet of Fire, which curse is placed on Neville Longbottom's parents?","The Imperius Curse","The Cruciatus Curse","The Killing Curse","The Sectumsempra","B","easy"
"Harry Potter","When Hermione is petrified by the basilisk in Harry Potter and the Chamber of Secrets, what cures her?","A bezoar","Professor Sprout's Mandrake Restorative Draught","Polyjuice Potion","Felix Felicis","B","easy"
"Harry Potter","What spell is cast by Professor McGonagall in Harry Potter and the Deathly Hallows: Part 2 to animate the Hogwarts statues?","Expecto Patronum","Piertotum Locomotor","Accio","Alohomora","B","easy"
"Harry Potter","Before Harry, who is the last person to duel Voldemort in the Battle of Hogwarts in Harry Potter and the Deathly Hallows: Part 2?","Ron Weasley","Neville Longbottom","Ginny Weasley","Luna Lovegood","B","easy"
"Harry Potter","What is the name of the conductor of the Knight Bus?","Ernie Prang","Stan Shunpike","Kingsley Shacklebolt","Aberforth Dumbledore","B","easy"
"Harry Potter","What causes Ron and Hermione to stop speaking to each other in Harry Potter and the Prisoner of Azkaban?","Ron believes Hermione's cat, Crookshanks, is the reason his pet rat, Scabbers has gone missing","A fight over homework","Jealousy over Quidditch","A misunderstanding about the Yule Ball","A","easy"
"Harry Potter","What does Uncle Vernon’s sister, Marge Dursley, do for a living?","She's a teacher","She's a bulldog breeder","She's a banker","She's a shopkeeper","B","easy"
"Harry Potter","Which two creatures are Hippogriffs a mix of?","Lions and tigers","Horses and eagles","Dragons and unicorns","Wolves and birds","B","easy"
"Harry Potter","Which family wins the Daily Prophet Grand Prize Galleon Draw?","The Malfoys","The Potters","The Weasleys","The Dumbledores","C","easy"
"Harry Potter","What speciality is Minerva McGonagall a professor of?","Potions","Transfiguration","Charms","Defense Against the Dark Arts","B","easy"
"Harry Potter","Where do the Weasleys go on vacation with their winnings?","France","Egypt","Australia","Romania","B","easy"
"Harry Potter","What is the name of the type of magical bowl that displays memories in a liquid, vapor form?","A cauldron","A Pensieve","A goblet","A vial","B","easy"
"Harry Potter","Which spell is used to banish a boggart?","Expecto Patronum","The Riddikulus spell","Lumos","Protego","B","easy"
"Harry Potter","What secret about his form is Professor Remus Lupin hiding?","He's an animagus","He's a werewolf","He's a vampire","He's a giant","B","easy"
"Harry Potter","What spell can instantly remove a challenger's wand from their hand?","Stupefy","Expelliarmus","Petrificus Totalus","Avada Kedavra","B","easy"
"Harry Potter","Which actor appeared in Goblet of Fire as Cedric Diggory before being known for portraying Edward in Twilight?","Daniel Radcliffe","Robert Pattinson","Rupert Grint","Tom Felton","B","easy"
"Harry Potter","Which Diagon Alley shop sells robes, uniforms and other various school supplies?","Ollivanders","Flourish and Blotts","Madam Malkin’s Robes for All Occasions","Quality Quidditch Supplies","C","easy"
"Harry Potter","In the books, what is named as Harry's favorite dessert?","Pumpkin pasties","Treacle Tart","Butterbeer","Chocolate frogs","B","easy"
"Harry Potter","What concoction helps Harry and Ron appear as Crabbe and Goyle in Harry Potter and the Chamber of Secrets?","Veritaserum","Polyjuice Potion","Amortentia","Draught of Living Death","B","easy"
"Harry Potter","What is Hagrid's first name?","Albus","Rubeus","Remus","Rube","B","easy"
"Harry Potter","Which broomstick does Harry Potter receive in Harry Potter and the Philosopher’s Stone?","Firebolt","Nimbus 2000","Cleansweep Seven","Comet 290","B","easy"
"Harry Potter","What are the first names of the Patil sisters?","Parvati and Padma","Pansy and Penelope","Petunia and Padma","Parvati and Penelope","A","easy"
"Harry Potter","In which book is Luna Lovegood introduced?","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Order of the Phoenix","Harry Potter and the Goblet of Fire","C","easy"
"Harry Potter","What type of animal does Ginny kill while possessed by Voldemort in Harry Potter and the Chamber of Secrets?","Owls","Roosters","Cats","Snakes","B","easy"
"Harry Potter","Which magical sweet comes with collectible cards displaying famous witches and wizards?","Bertie Bott's Every Flavor Beans","Chocolate frogs","Pumpkin pasties","Cauldron Cakes","B","easy"
"Harry Potter","What does Dobby the House Elf call Ron Weasley?","Tall one","“Wheezy”","Redhead","Friend of Harry","B","easy"
"Harry Potter","What is the Gryffindor motto?","Wit beyond measure is man's greatest treasure","Forti Animo Estote","Draco dormiens nunquam titillandus","In the name of Merlin","B","easy"
"Harry Potter","What do wizards call people who were born into wizarding families but don’t have any powers?","Muggles","Squibs","Obscurials","Half-bloods","B","easy"
"Harry Potter","Which Hogwarts house did the Sorting Hat consider putting Hermione in before deciding on Gryffindor?","Slytherin","Hufflepuff","Ravenclaw","None, it was always Gryffindor","C","easy"
"Harry Potter","What was Moaning Myrtle’s real name?","Myrtle McGonagall","Myrtle Warren","Myrtle Malfoy","Myrtle Moody","B","easy"
"Harry Potter","How do Lily and Snape meet for the first time?","At Hogwarts","Snape lived in the same town and introduced himself to Lily after he saw her doing magic","Through a family connection","At a Quidditch match","B","easy"
"Harry Potter","How many Horcruxes did Voldemort create intentionally?","Five","Six, including Tom Riddle's diary, Marvolo Gaunt's ring, Salazar Slytherin's locket, Helga Hufflepuff's cup, Rowena Ravenclaw's diadem, and Nagini the snake","Seven","Eight","B","easy"
"Harry Potter","What is the primary ingredient in Polyjuice potion?","Boomslang skin","The hair of the person you want to transform into","Lacewing flies","Leeches","B","easy"
"Harry Potter","What is the correct birth order of the Weasley children?","Percy, Bill, Charlie, Fred and George, Ron, Ginny","Bill, Charlie, Percy, Fred and George, Ron, Ginny","Charlie, Bill, Percy, Ron, Fred and George, Ginny","Bill, Percy, Charlie, George and Fred, Ginny, Ron","B","easy"
"Harry Potter","What is the name of the magical map that shows the entire layout of Hogwarts?","The Marauder's Map","The Pensieve","The Marauder's Mirror","The Invisibility Map","A","easy"
"Harry Potter","What is the name of the creature guarding the trapdoor in Harry Potter and the Sorcerer's Stone?","A basilisk","Fluffy","Aragog","A sphinx","B","easy"
"Harry Potter","What is the name of Harry's owl?","Hedwig","Errol","Pigwidgeon","Fawkes","A","easy"
"Harry Potter","Who is the headmaster of Hogwarts in the first movie?","Albus Dumbledore","Severus Snape","Minerva McGonagall","Remus Lupin","A","easy"
"Harry Potter","What position does Harry play on the Gryffindor Quidditch team?","Seeker","Chaser","Beater","Keeper","A","easy"
"Harry Potter","What is the name of the three-headed dog guarding the Sorcerer's Stone?","Fluffy","Fang","Norbert","Aragog","A","easy"
"Harry Potter","Which house does Harry get sorted into?","Gryffindor","Slytherin","Hufflepuff","Ravenclaw","A","easy"
"Harry Potter","What spell does Hermione use to fix Harry's glasses?","Oculus Reparo","Wingardium Leviosa","Alohomora","Expelliarmus","A","easy"
"Harry Potter","What is the name of the Weasley family home?","The Burrow","Malfoy Manor","Grimmauld Place","Hogwarts","A","easy"
"Harry Potter","Who plays Quidditch for Slytherin and bullies Harry?","Draco Malfoy","Ron Weasley","Neville Longbottom","Seamus Finnigan","A","easy"
"Harry Potter","What creature is hidden in the Chamber of Secrets?","Basilisk","Dragon","Giant Squid","Hippogriff","A","easy"
"Harry Potter","What is the full name of the school in the Harry Potter movies?","Hogwarts School of Witchcraft and Wizardry","Durmstrang Institute","Beauxbatons Academy","Ilvermorny School","A","easy"
"Harry Potter","What color is the Knight Bus?","Purple","Red","Black","Green","A","easy"
"Harry Potter","Who is Harry's godfather?","Sirius Black","Remus Lupin","Albus Dumbledore","Rubeus Hagrid","A","easy"
"Harry Potter","What does the Marauder's Map show?","Locations of people in Hogwarts","Secret passages","Both A and B","Horcruxes","C","easy"
"Harry Potter","What is the name of the goblin who helps Harry in Gringotts?","Griphook","Gornuk","Bogrod","Ragnok","A","easy"
"Harry Potter","Which professor teaches Defense Against the Dark Arts in the second movie?","Gilderoy Lockhart","Remus Lupin","Mad-Eye Moody","Dolores Umbridge","A","easy"
"Harry Potter","What is Hagrid's pet spider called?","Aragog","Fang","Buckbeak","Norbert","A","easy"
"Harry Potter","Who wins the House Cup in the first movie?","Gryffindor","Slytherin","Hufflepuff","Ravenclaw","A","easy"
"Harry Potter","What is the name of the potion that allows the drinker to assume another's appearance?","Polyjuice Potion","Veritaserum","Felix Felicis","Amortentia","A","easy"
"Harry Potter","What creature does Hagrid try to raise in the first movie?","Norwegian Ridgeback Dragon","Hippogriff","Unicorn","Phoenix","A","easy"
"Harry Potter","Who is the sorting hat afraid of in the second movie?","Tom Riddle","Draco Malfoy","Ginny Weasley","Lucius Malfoy","A","easy"
"Harry Potter","What is the name of the pub in Hogsmeade?","The Three Broomsticks","The Hog's Head","Both A and B","Leaky Cauldron","C","easy"
"Harry Potter","What spell is used to summon objects?","Accio","Lumos","Nox","Petrificus Totalus","A","easy"
"Harry Potter","Who teaches Harry how to fly a broomstick?","Madam Hooch","Rubeus Hagrid","Rolanda Hooch","Both A and B","D","easy"
"Harry Potter","What is the name of the ghost of Slytherin?","The Bloody Baron","Nearly Headless Nick","The Fat Friar","The Grey Lady","A","easy"
"Harry Potter","In the third movie, what animal saves Sirius Black?","Hippogriff","Phoenix","Thestral","Owl","A","easy"
"Harry Potter","What is the core of Harry's wand?","Phoenix feather","Dragon heartstring","Unicorn hair","Veela hair","A","easy"
"Harry Potter","Who is the half-giant gamekeeper at Hogwarts?","Rubeus Hagrid","Olympe Maxime","Firenze","Grawp","A","easy"
"Harry Potter","What event is announced in the fourth movie?","The Triwizard Tournament","The Quidditch World Cup","Yule Ball","All of the above","D","easy"
"Harry Potter","What is the name of Voldemort's snake?","Nagini","Salzar","Viper","Basil","A","easy"
"Harry Potter","Which character is a werewolf?","Remus Lupin","Fenrir Greyback","Both A and B","Sirius Black","C","easy"
"Harry Potter","What does Dobby the house-elf do in the second movie?","Warns Harry","Knits socks","Both A and B","Steals letters","A","easy"
"Harry Potter","What is the password to the Gryffindor common room in the first movie?","Caput Draconis","Pig Snout","Wattlebird","Baublygum","A","easy"
"Harry Potter","Who is the potions master at Hogwarts?","Severus Snape","Horace Slughorn","Both A and B","Minerva McGonagall","C","easy"
"Harry Potter","What flying car do Ron and Harry use to get to Hogwarts?","Ford Anglia","Nimbus 2000","Firebolt","Cleansweep","A","easy"
"Harry Potter","What is the name of the mirror that shows one's heart's desire?","Mirror of Erised","Pensieve","Sorting Hat","Marauder's Map","A","easy"
"Harry Potter","In the third movie, what subject does Professor Trelawney teach?","Divination","Care of Magical Creatures","Muggle Studies","Astronomy","A","easy"
"Harry Potter","What is the name of the bank where wizards store their money?","Gringotts","Hogwarts Vault","Diagon Alley Bank","Wizarding Vault","A","easy"
"Harry Potter","Who pretends to be Mad-Eye Moody in the fourth movie?","Barty Crouch Jr.","Igor Karkaroff","Ludo Bagman","Viktor Krum","A","easy"
"Harry Potter","What creature pulls the carriages to Hogwarts?","Thestrals","Hippogriffs","Abraxans","Invisible horses","A","easy"
"Harry Potter","What is Hermione's patronus?","Otter","Stag","Doe","Phoenix","A","easy"
"Harry Potter","In the fifth movie, who leads the Inquisitorial Squad?","Draco Malfoy","Pansy Parkinson","Both A and B","Luna Lovegood","C","easy"
"Harry Potter","What spell unlocks doors?","Alohomora","Bombarda","Reducto","Diffindo","A","easy"
"Harry Potter","Who is the minister of magic in the later movies?","Cornelius Fudge","Rufus Scrimgeour","Both A and B","Kingsley Shacklebolt","C","easy"
"Harry Potter","What is the name of the radio show that announces Voldemort's return?","Potterwatch","Wizarding Wireless Network","Both A and B","Daily Prophet","A","easy"
"Harry Potter","In the sixth movie, what does Dumbledore drink?","Potion of Despair","Felix Felicis","Veritaserum","Draught of Living Death","A","easy"
"Harry Potter","What is the name of the Weasleys' shop in Diagon Alley?","Weasleys' Wizard Wheezes","Borgin and Burkes","Flourish and Blotts","Quality Quidditch Supplies","A","easy"
"Harry Potter","Who teaches Transfiguration?","Minerva McGonagall","Filius Flitwick","Pomona Sprout","Sybill Trelawney","A","easy"
"Harry Potter","What is the core of Voldemort's wand?","Phoenix feather","Dragon heartstring","Unicorn hair","Same as Harry's","A","easy"
"Harry Potter","In the seventh movie, what protects the entrance to the Room of Requirement?","Fire","Dragons","Goblins","Acromantulas","A","easy"
"Harry Potter","What is the final Horcrux destroyed in the movies?","Nagini","Diadem","Both A and B","Locket","A","easy"
"Harry Potter","Which skeletal, winged creatures, visible only to those who have witnessed death firsthand, pull the carriages to Hogwarts beginning in Year 5?","Thestrals","Hippogriffs","Phoenixes","Dragons","A","medium"
"Harry Potter","What is the name of the surly Black family house-elf, who eventually helps Harry and his friends despite his reluctance?","Dobby","Winky","Kreacher","Hokey","C","medium"
"Harry Potter","Which professor teaches Divination in the North Tower and is known for her dramatic predictions?","Professor McGonagall","Professor Trelawney","Professor Sprout","Professor Flitwick","B","medium"
"Harry Potter","James Potter and his three friends were Animagi and pranksters. What was James’s Marauder nickname?","Padfoot","Wormtail","Moony","Prongs","D","medium"
"Harry Potter","What potion, sometimes referred to as “Liquid Luck,” grants extraordinary good fortune for a limited time?","Polyjuice Potion","Veritaserum","Felix Felicis","Draught of Living Death","C","medium"
"Harry Potter","In Philosopher’s Stone, which number vault at Gringotts holds the Philosopher’s Stone under heavy protection?","Vault 687","Vault 713","Vault 411","Vault 1000","B","medium"
"Harry Potter","What is the incantation for the Summoning Charm, which Harry uses to call his broom during the Triwizard Tournament?","Expelliarmus","Accio","Wingardium Leviosa","Expecto Patronum","B","medium"
"Harry Potter","Which ghost serves as the spectral representative of Slytherin house?","Nearly Headless Nick","The Fat Friar","The Grey Lady","The Bloody Baron","D","medium"
"Harry Potter","What is the name of the French wizarding school from which Fleur Delacour hails during the Triwizard Tournament?","Durmstrang","Beauxbatons Academy of Magic","Ilvermorny","Castelobruxo","B","medium"
"Harry Potter","What is the effect of the Imperius Curse, one of the three Unforgivable Curses?","Causes unbearable pain","Kills instantly","Allows the caster to control the victim’s actions completely","Erases memories","C","medium"
"Harry Potter","What kind of creature is Buckbeak, who befriends Harry and later travels with Sirius?","Centaur","Hippogriff","Thestral","Basilisk","B","medium"
"Harry Potter","Who was the original owner of Harry’s Invisibility Cloak, passed down through his father?","Godric Gryffindor","Salazar Slytherin","Ignotus Peverell","Rowena Ravenclaw","C","medium"
"Harry Potter","In the Triwizard Tournament’s first task, which breed of dragon does Harry face?","Norwegian Ridgeback","Swedish Short-Snout","Hungarian Horntail","Chinese Fireball","C","medium"
"Harry Potter","Voldemort’s loyal snake companion and Horcrux is named what?","Nagini","Basilisk","Runespoor","Boomslang","A","medium"
"Harry Potter","Before Albus Dumbledore, who was headmaster of Hogwarts?","Phineas Nigellus Black","Armando Dippet","Dexter Fortescue","Dilys Derwent","B","medium"
"Harry Potter","What is the only known cure for basilisk venom, which saves Harry in the Chamber of Secrets?","Mandrake root","Phoenix tears","Bezoar","Wolfsbane Potion","B","medium"
"Harry Potter","What form does a Boggart take when it appears before someone?","The shape of that person’s greatest fear","A black dog","A dementor","A snake","A","medium"
"Harry Potter","After Cornelius Fudge, who is appointed Minister for Magic?","Pius Thicknesse","Rufus Scrimgeour","Kingsley Shacklebolt","Amelia Bones","B","medium"
"Harry Potter","When Hermione signals the D.A. members during training, what color sparks does she send into the air?","Green","Blue","Red","Gold","C","medium"
"Harry Potter","What is Nymphadora Tonks’s most disliked first name?","Andromeda","Bellatrix","Nymphadora","Narcissa","C","medium"
"Harry Potter","What Horcrux does Ron Weasley personally destroy with the Sword of Gryffindor?","Tom Riddle’s diary","Salazar Slytherin’s locket","Helga Hufflepuff’s cup","Rowena Ravenclaw’s diadem","B","medium"
"Harry Potter","Who is eventually revealed to be the Half-Blood Prince?","Remus Lupin","Severus Snape","Horace Slughorn","Regulus Black","B","medium"
"Harry Potter","Luna Lovegood, with her eccentric style and open mind, is sorted into which Hogwarts house?","Hufflepuff","Gryffindor","Ravenclaw","Slytherin","C","medium"
"Harry Potter","What enchanted object determines which house each new student belongs to at Hogwarts?","The Marauder’s Map","The Sorting Hat","The Pensieve","The Deluminator","B","medium"
"Harry Potter","In what year was Harry James Potter born, marking the beginning of the prophecy era?","1979","1980","1981","1982","C","medium"
"Harry Potter","During their escape from Malfoy Manor, who kills Dobby with a thrown knife?","Lucius Malfoy","Draco Malfoy","Bellatrix Lestrange","Fenrir Greyback","C","medium"
"Harry Potter","What potion forces the drinker to reveal only the truth, used by interrogators?","Felix Felicis","Veritaserum","Amortentia","Polyjuice Potion","B","medium"
"Harry Potter","Which professor, beloved by students, is revealed to be a werewolf?","Gilderoy Lockhart","Remus Lupin","Quirinus Quirrell","Sybill Trelawney","B","medium"
"Harry Potter","What animal shape does Lily Potter’s Patronus take, echoing Severus Snape’s?","A stag","A wolf","A doe","An otter","C","medium"
"Harry Potter","Who guards the portrait hole to the Gryffindor common room and demands a password for entry?","The Fat Monk","The Fat Lady","Sir Nicholas","The Baron","B","medium"
"Harry Potter","What magical map reveals everyone’s location inside Hogwarts in real time?","The Marauder’s Map","The Map of the Marauders","The Hogwarts Map","The Invisibility Map","A","medium"
"Harry Potter","Arthur Weasley, fascinated by Muggles, particularly obsesses over what ordinary household item?","Toasters","Plugs","Televisions","Radios","B","medium"
"Harry Potter","Viktor Krum, who represents Durmstrang at the Triwizard Tournament, plays professional Quidditch in what position?","Chaser","Beater","Keeper","Seeker","D","medium"
"Harry Potter","What is the incantation for the spell that repairs broken objects?","Reparo","Oculus Reparo","Finite Incantatem","Episkey","A","medium"
"Harry Potter","In which numbered Gringotts vault are the Potters’ savings kept?","Vault 713","Vault 687","Vault 411","Vault 1000","B","medium"
"Harry Potter","On what street and house number do the Dursleys live, raising Harry for much of his early life?","12 Grimmauld Place","4 Privet Drive, Little Whinging","Godric’s Hollow","Spinner’s End","B","medium"
"Harry Potter","Which founder of Hogwarts was known for his cunning, ambition, and preference for pure-blood wizards?","Godric Gryffindor","Helga Hufflepuff","Rowena Ravenclaw","Salazar Slytherin","D","medium"
"Harry Potter","During the third task of the Triwizard Tournament, which student is killed in the graveyard after touching the Cup?","Viktor Krum","Fleur Delacour","Cedric Diggory","Cho Chang","C","medium"
"Harry Potter","Which Hogwarts instructor teaches the basics of flying broomsticks to first-years?","Professor Hooch","Madam Hooch","Professor Sinistra","Madam Pince","B","medium"
"Harry Potter","Who was the very first known prisoner to escape successfully from Azkaban?","Bellatrix Lestrange","Sirius Black","Peter Pettigrew","Barty Crouch Jr.","B","medium"
