MovieName,ReleaseYear,OpeningWeekendUSD
Don’t Worry Darling,2022,19325853
Barbie,2023,162022044
Oppenheimer,2023,82132530
The Super Mario Bros. Movie,2023,146361865
Guardians of the Galaxy Vol. 3,2023,118414021
Spider-Man: Across the Spider-Verse,2023,120066392
The Little Mermaid,2023,95618321
Mission: Impossible – Dead Reckoning Part One,2023,54805832
Indiana Jones and the Dial of Destiny,2023,60288065
Elemental,2023,29603748
Fast X,2023,67626785
The Flash,2023,55146318
Transformers: Rise of the Beasts,2023,61045864
The Hunger Games: The Ballad of Songbirds & Snakes,2023,44540258
Wonka,2023,39005187
The Marvels,2023,46110859
Killers of the Flower Moon,2023,23202394
The Creator,2023,14150161
Five Nights at Freddy’s,2023,80001347
The Equalizer 3,2023,34604030
Gran Turismo,2023,17311284
Blue Beetle,2023,25191635
Meg 2: The Trench,2023,30079330
Haunted Mansion,2023,24187792
Dune: Part Two,2024,82505391
Godzilla x Kong: The New Empire,2024,80006801
Kung Fu Panda 4,2024,58127905
Ghostbusters: Frozen Empire,2024,45004358
The Ministry of Ungentlemanly Warfare,2024,8750000
Civil War,2024,25667624
The Fall Guy,2024,27850000
Kingdom of the Planet of the Apes,2024,58130000
Furiosa: A Mad Max Saga,2024,25854952
Bad Boys: Ride or Die,2024,56265000
Inside Out 2,2024,154201673
A Quiet Place: Day One,2024,52457193
Horizon: An American Saga – Chapter 1,2024,11088562
Twisters,2024,80339005
Deadpool & Wolverine,2024,211400000
It Ends with Us,2024,50016801
Alien: Romulus,2024,41796626
The Bikeriders,2024,9993959
Fly Me to the Moon,2024,9461157
Longlegs,2024,22320222
MaXXXine,2024,6711571
Despicable Me 4,2024,74909095
Transformers One,2024,24975543
Beetlejuice Beetlejuice,2024,110003317
Speak No Evil,2024,11250935
The Wild Robot,2024,35605865
Joker: Folie à Deux,2024,37228035
Venom: The Last Dance,2024,TBD
Smile 2,2024,23077613
Conclave,2024,TBD
Mufasa: The Lion King,2024,TBD
Nosferatu,2024,TBD
A Complete Unknown,2024,TBD
The Lord of the Rings: The War of the Rohirrim,2024,TBD
Sonic the Hedgehog 3,2024,TBD
Kraven the Hunter,2024,TBD
The Gorge,2024,TBD
Red One,2024,TBD
